file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:04-0.signal,1,40,4,"G(p U[0.0,1.0] q)",3,TRUE,652.60,583.05,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:05-0.signal,1,30,5,"G(p U[0.096875,1.0] q)",3,TRUE,341.54,291.60,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:06-0.signal,1,40,6,"G(p U[0.0,1.0] q)",3,TRUE,794.76,725.47,5400
RQ1-bound-1/signalsFiles/f:04-nw:010-ml:05-0.signal,1,20,5,"G(F[0.00625,1.0]q)",2,TRUE,12.78,5.27,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:04-0.signal,1,30,4,"G(p U[0.0,1.0] q)",3,TRUE,303.71,253.56,5400
RQ1-bound-1/signalsFiles/f:04-nw:010-ml:04-0.signal,1,20,4,"G(p U[0.00625,0.90625] q)",3,TRUE,212.38,180.59,5400
RQ1-bound-1/signalsFiles/f:04-nw:005-ml:06-0.signal,1,10,6,"G(p U[0.0125,0.9125] q)",3,TRUE,73.30,57.85,5400
RQ1-bound-2/signalsFiles/f:01-nw:005-ml:04-0.signal,2,10,4,"G(F[0.0125,2.0]p)",2,TRUE,4.79,1.24,5400
RQ1-bound-2/signalsFiles/f:01-nw:005-ml:05-0.signal,2,10,5,"G(F[0.00625,1.99375]p)",2,TRUE,4.95,1.30,5400
RQ1-bound-2/signalsFiles/f:01-nw:005-ml:06-0.signal,2,10,6,"G(F[0.1,2.0]p)",2,TRUE,5.53,1.88,5400
RQ1-bound-2/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,"G(F[0.0,2.0]p)",2,TRUE,10.10,2.62,5400
RQ1-bound-2/signalsFiles/f:01-nw:010-ml:05-0.signal,2,20,5,"G(F[0.19166666666666668,1.9958333333333333]p)",2,TRUE,10.12,2.68,5400
RQ1-bound-2/signalsFiles/f:01-nw:010-ml:06-0.signal,2,20,6,"G(F[0.00625,2.0]p)",2,TRUE,12.72,5.14,5400
RQ1-bound-2/signalsFiles/f:01-nw:015-ml:04-0.signal,2,30,4,"G(F[0.0,2.0]p)",2,TRUE,18.53,6.78,5400
RQ1-bound-2/signalsFiles/f:01-nw:015-ml:05-0.signal,2,30,5,"G(F[0.103125,2.0]p)",2,TRUE,22.19,10.39,5400
