file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
scalable-len-8/signalsFiles/f:02-nw:030-ml:08-0.signal,2,60,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:03-nw:015-ml:08-0.signal,2,30,8,G(p | q),3,True,126.09504675865173,74.90989851951599,5400.0
scalable-len-8/signalsFiles/f:03-nw:010-ml:08-0.signal,2,20,8,G(q | p),3,True,78.1688277721405,45.965062618255615,5400.0
scalable-len-8/signalsFiles/f:01-nw:025-ml:08-0.signal,2,50,8,"G(F[0.0,2.0]p)",2,True,43.33152413368225,22.509862184524536,5400.0
scalable-len-8/signalsFiles/f:01-nw:020-ml:08-0.signal,2,40,8,"G(F[0.0,2.0]p)",2,True,35.352503061294556,18.818117380142212,5400.0
scalable-len-8/signalsFiles/f:04-nw:030-ml:08-0.signal,2,60,8,"G(p U[0.0,2.0] q)",3,True,2567.2734920978546,2440.8431499004364,5400.0
scalable-len-8/signalsFiles/f:02-nw:015-ml:08-0.signal,2,30,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:03-nw:030-ml:08-0.signal,2,60,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:02-nw:010-ml:08-0.signal,2,20,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:04-nw:010-ml:08-0.signal,2,20,8,"G(p U[0.003125,1.903125] q)",3,True,297.50328278541565,264.51780438423157,5400.0
scalable-len-8/signalsFiles/f:01-nw:005-ml:08-0.signal,2,10,8,"G(F[0.0,2.0]p)",2,True,5.598322153091431,2.0036187171936035,5400.0
scalable-len-8/signalsFiles/f:04-nw:015-ml:08-0.signal,2,30,8,"G(p U[0.0,2.0] q)",3,True,538.5318593978882,488.807461977005,5400.0
scalable-len-8/signalsFiles/f:01-nw:010-ml:08-0.signal,2,20,8,"G(F[0.0,2.0]p)",2,True,12.203991889953613,4.620109796524048,5400.0
scalable-len-8/signalsFiles/f:01-nw:015-ml:08-0.signal,2,30,8,"G(F[0.0,1.8041666666666667]p)",2,True,24.86995553970337,12.88417387008667,5400.0
scalable-len-8/signalsFiles/f:04-nw:005-ml:08-0.signal,2,10,8,"G(p U[0.003125,2.0] q)",3,True,99.32337665557861,83.85143733024597,5400.0
scalable-len-8/signalsFiles/f:02-nw:005-ml:08-0.signal,2,10,8,"G(p | (F[0.0,2.0]q))",4,True,1656.2458634376526,1614.7872507572174,5400.0
scalable-len-8/signalsFiles/f:03-nw:020-ml:08-0.signal,2,40,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:03-nw:025-ml:08-0.signal,2,50,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:04-nw:025-ml:08-0.signal,2,50,8,"G(p U[0.0,2.0] q)",3,True,3313.8494956493378,3223.7271502017975,5400.0
scalable-len-8/signalsFiles/f:01-nw:030-ml:08-0.signal,2,60,8,"G(F[0.0,2.0]p)",2,True,70.7784686088562,44.4442093372345,5400.0
scalable-len-8/signalsFiles/f:04-nw:020-ml:08-0.signal,2,40,8,"G(p U[0.0,2.0] q)",3,True,1242.2947525978088,1173.0619914531708,5400.0
scalable-len-8/signalsFiles/f:02-nw:020-ml:08-0.signal,2,40,8,,,,,,5400.0
scalable-len-8/signalsFiles/f:03-nw:005-ml:08-0.signal,2,10,8,G(q | p),3,True,34.66450238227844,19.056835174560547,5400.0
scalable-len-8/signalsFiles/f:02-nw:025-ml:08-0.signal,2,50,8,,,,,,5400.0
