file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-U-bound-1/signalsFiles/f:01-nw:020-ml:05-0.signal,1,40,5,"G(p U[0.0,1.0] q)",3,True,758.6195802688599,689.841180562973,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:015-ml:06-0.signal,1,30,6,"G(p U[0.0,1.0] q)",3,True,606.3993153572083,552.5722434520721,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:010-ml:06-0.signal,1,20,6,"G(F[0.0,1.0]q)",2,True,14.07400918006897,6.70142126083374,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:005-ml:04-0.signal,1,10,4,"G(p U[0.0125,0.9125] q)",3,True,28.725849390029907,12.869693517684937,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:005-ml:05-0.signal,1,10,5,"G(F[0.0,1.0]q)",2,True,4.332854270935059,0.7654941082000732,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:020-ml:04-0.signal,1,40,4,"G(p U[0.0,1.0] q)",3,True,652.6020517349243,583.0456268787384,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:015-ml:05-0.signal,1,30,5,"G(p U[0.096875,1.0] q)",3,True,341.5398461818695,291.60270619392395,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:020-ml:06-0.signal,1,40,6,"G(p U[0.0,1.0] q)",3,True,794.7582156658173,725.4720869064331,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:010-ml:05-0.signal,1,20,5,"G(F[0.00625,1.0]q)",2,True,12.778220653533936,5.270687580108643,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:015-ml:04-0.signal,1,30,4,"G(p U[0.0,1.0] q)",3,True,303.71177220344543,253.5571517944336,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:010-ml:04-0.signal,1,20,4,"G(p U[0.00625,0.90625] q)",3,True,212.3817057609558,180.59115028381348,5400.0
RQ1-U-bound-1/signalsFiles/f:01-nw:005-ml:06-0.signal,1,10,6,"G(p U[0.0125,0.9125] q)",3,True,73.30215549468994,57.84525656700134,5400.0
