file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-bound-1/signalsFiles/f:04-nw:010-ml:06-0.signal,1,20,6,Gp,1,TRUE,0.130376577377319,0.002310514450073,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:04-0.signal,1,30,4,Gp,1,TRUE,0.18985390663147,0.004948854446411,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:05-0.signal,1,30,5,Gp,1,TRUE,0.190078496932983,0.004958152770996,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:06-0.signal,1,30,6,Gp,1,TRUE,0.186467885971069,0.003980159759521,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:04-0.signal,1,40,4,Gp,1,TRUE,0.2418212890625,0.006578922271729,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:04-0.signal,1,40,4,Gp,1,TRUE,0.257011651992798,0.007630109786987,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:05-0.signal,1,40,5,Gp,1,TRUE,0.240352869033813,0.006341218948364,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:05-0.signal,1,40,5,Gp,1,TRUE,0.246145963668823,0.007585525512695,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:06-0.signal,1,40,6,Gp,1,TRUE,0.240798473358154,0.006366729736328,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:06-0.signal,1,40,6,Gp,1,TRUE,0.244884729385376,0.006479501724243,5400
