file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
first-run/signalsFiles/f:01-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,2.0]p)",2,True,4.782290697097778,0.6610634326934814,7200
first-run/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.096875,1.996875]p)",2,True,14.150706052780151,3.894254207611084,7200
first-run/signalsFiles/f:02-nw:004-ml:04-0.signal,2,8,4,"G((F[0.0,1.70625]q) | p)",4,True,234.0016107559204,182.88664507865906,7200
first-run/signalsFiles/f:02-nw:016-ml:12-0.signal,2,32,12,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:14-0.signal,2,32,14,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:08-0.signal,2,32,8,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
first-run/signalsFiles/f:01-nw:012-ml:12-0.signal,2,24,12,"G(F[0.0,2.0]p)",2,True,25.47059965133667,12.179267168045044,7200
first-run/signalsFiles/f:02-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:10-0.signal,2,32,10,,,,,,7200
first-run/signalsFiles/f:02-nw:004-ml:08-0.signal,2,8,8,"G(F[0.003125,1.196875](q | p))",4,True,411.06060695648193,360.87590074539185,7200
first-run/signalsFiles/f:03-nw:004-ml:14-0.signal,2,8,14,"G(F[1.09375,2.0]p)",2,True,5.825894832611084,1.6957523822784424,7200
first-run/signalsFiles/f:03-nw:016-ml:16-0.signal,2,32,16,,,,,,7200
first-run/signalsFiles/f:03-nw:008-ml:06-0.signal,2,16,6,"G(p | (F[0.10208333333333333,0.6041666666666666]q))",4,True,942.39972615242,831.3032026290894,7200
first-run/signalsFiles/f:03-nw:016-ml:10-0.signal,2,32,10,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:01-nw:004-ml:12-0.signal,2,8,12,"G(F[0.51875,1.80625]p)",2,True,6.814727544784546,2.2484235763549805,7200
first-run/signalsFiles/f:01-nw:012-ml:06-0.signal,2,24,6,"G(F[0.003125,1.996875]p)",2,True,23.161804676055908,6.61826229095459,7200
first-run/signalsFiles/f:02-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:03-nw:004-ml:16-0.signal,2,8,16,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
